time,thrust
6.99,459.7388
7,439.831299
7.01,436.098663
7.02,428.01123
7.03,431.121796
7.04,424.900696
7.05,432.988098
7.06,429.255463
7.07,419.923828
7.08,418.679596
7.09,417.435364
7.1,423.656464
7.11,421.16803
7.12,410.592163
7.13,410.592163
7.14,400.016327
7.15,402.504761
7.16,393.795227
7.17,398.149994
7.18,390.684662
7.19,386.329895
7.2,383.21936
7.21,376.99826
7.22,383.841461
7.23,366.422424
7.24,374.509827
7.25,373.887726
7.26,373.887726
7.27,367.666626
7.28,370.777161
7.29,367.666626
7.3,358.957092
7.31,358.957092
7.32,360.823425
7.33,352.735992
7.34,351.491791
7.35,350.86969
7.36,344.64859
7.37,353.980225
7.38,336.561157
7.39,347.759125
7.4,324.118988
7.41,330.340057
7.42,332.828491
7.43,325.985291
7.44,334.072723
7.45,332.828491
7.46,326.607422
7.47,337.183258
7.48,316.031555
7.49,324.118988
7.5,320.386322
7.51,309.810455
7.52,314.165222
7.53,308.566254
7.54,302.345154
7.55,306.077789
7.56,291.147186
7.57,304.211487
7.58,294.879822
7.59,303.589355
7.6,292.391388
7.61,289.280853
7.62,278.082886
7.63,287.41452
7.64,282.437653
7.65,284.926086
7.66,274.35022
7.67,278.082886
7.68,283.681854
7.69,279.949219
7.7,268.751251
7.71,264.396484
7.72,272.483887
7.73,270.617554
7.74,270.617554
7.75,267.507019
7.76,273.728119
7.77,266.884918
7.78,244.488983
7.79,261.908051
7.8,259.419586
7.81,253.820618
7.82,254.442719
7.83,252.576401
7.84,250.087967
7.85,242.000534
7.86,251.954285
7.87,243.244751
7.88,245.111084
7.89,234.535233
7.9,238.267883
7.91,241.378433
7.92,237.023666
7.93,235.157333
7.94,234.535233
7.95,237.645767
7.96,228.936249
7.97,233.913116
7.98,235.157333
7.99,225.203583
8,227.692017
8.01,228.314133
8.02,216.494049
8.03,217.116165
8.04,217.116165
8.05,213.383514
8.06,214.627731
8.07,214.627731
8.08,207.162415
8.09,197.83078
8.1,210.895065
8.11,210.895065
8.12,203.429764
8.13,204.051865
8.14,210.272964
8.15,203.429764
8.16,196.586563
8.17,197.83078
8.18,204.051865
8.19,200.319214
8.2,199.074997
8.21,199.074997
8.22,189.121246
8.23,185.38858
8.24,193.476013
8.25,188.49913
8.26,194.098114
8.27,184.766479
8.28,194.72023
8.29,191.60968
